step,step_loss,lr
950,0.132037,0.00006311
951,0.118477,0.00006303
952,0.036055,0.00006294
953,0.186335,0.00006286
954,0.108350,0.00006277
955,0.224714,0.00006269
956,0.105771,0.00006260
957,0.169257,0.00006252
958,0.125205,0.00006243
959,0.290210,0.00006235
960,0.064296,0.00006227
961,0.214983,0.00006218
962,0.131258,0.00006210
963,0.091986,0.00006201
964,0.125830,0.00006193
965,0.143874,0.00006184
966,0.321048,0.00006176
967,0.109213,0.00006167
968,0.117687,0.00006159
969,0.048754,0.00006150
970,0.193742,0.00006142
971,0.079288,0.00006133
972,0.191519,0.00006125
973,0.294482,0.00006116
974,0.081088,0.00006108
975,0.058578,0.00006099
976,0.130236,0.00006091
977,0.138185,0.00006082
978,0.204815,0.00006074
979,0.115486,0.00006065
980,0.039724,0.00006057
981,0.088764,0.00006048
982,0.117603,0.00006040
983,0.142716,0.00006031
984,0.093986,0.00006022
985,0.118693,0.00006014
986,0.081910,0.00006005
987,0.267110,0.00005997
988,0.193430,0.00005988
989,0.174675,0.00005980
990,0.110865,0.00005971
991,0.177636,0.00005963
992,0.136425,0.00005954
993,0.125988,0.00005945
994,0.007887,0.00005937
995,0.054685,0.00005928
996,0.219256,0.00005920
997,0.078973,0.00005911
998,0.141084,0.00005903
999,0.154671,0.00005894
1000,0.128826,0.00005885
1001,0.086029,0.00005877
1002,0.201362,0.00005868
1003,0.171334,0.00005860
1004,0.059225,0.00005851
1005,0.222248,0.00005842
1006,0.114059,0.00005834
1007,0.086796,0.00005825
1008,0.143879,0.00005817
1009,0.128109,0.00005808
1010,0.126714,0.00005799
1011,0.253533,0.00005791
1012,0.217904,0.00005782
1013,0.071824,0.00005774
1014,0.117877,0.00005765
1015,0.075593,0.00005756
1016,0.190578,0.00005748
1017,0.097570,0.00005739
1018,0.069110,0.00005730
1019,0.110931,0.00005722
1020,0.119690,0.00005713
1021,0.126509,0.00005705
1022,0.580647,0.00005696
1023,0.142671,0.00005687
1024,0.125918,0.00005679
1025,0.065514,0.00005670
1026,0.102277,0.00005661
1027,0.111224,0.00005653
1028,0.254878,0.00005644
1029,0.184832,0.00005635
1030,0.110983,0.00005627
1031,0.075760,0.00005618
1032,0.256605,0.00005609
1033,0.081298,0.00005601
1034,0.085140,0.00005592
1035,0.219157,0.00005583
1036,0.039139,0.00005575
1037,0.083077,0.00005566
1038,0.135958,0.00005557
1039,0.124403,0.00005549
1040,0.098693,0.00005540
1041,0.227953,0.00005531
1042,0.120375,0.00005523
1043,0.202915,0.00005514
1044,0.130039,0.00005505
1045,0.135761,0.00005497
1046,0.131373,0.00005488
1047,0.189591,0.00005479
1048,0.132083,0.00005471
1049,0.122296,0.00005462
1050,0.059752,0.00005453
1051,0.194963,0.00005444
1052,0.160974,0.00005436
1053,0.089712,0.00005427
1054,0.124048,0.00005418
1055,0.197418,0.00005410
1056,0.122742,0.00005401
1057,0.277606,0.00005392
1058,0.160586,0.00005384
1059,0.067363,0.00005375
1060,0.178587,0.00005366
1061,0.141091,0.00005357
1062,0.135556,0.00005349
1063,0.141534,0.00005340
1064,0.136468,0.00005331
1065,0.146339,0.00005323
